"","species","flipper_length_mm","culmen_length_mm","culmen_depth_mm","body_mass_g"
"1","Adelie Penguin (Pygoscelis adeliae)",181,39.1,18.7,3750
"2","Adelie Penguin (Pygoscelis adeliae)",186,39.5,17.4,3800
"3","Adelie Penguin (Pygoscelis adeliae)",195,40.3,18,3250
"4","Adelie Penguin (Pygoscelis adeliae)",193,36.7,19.3,3450
"5","Adelie Penguin (Pygoscelis adeliae)",190,39.3,20.6,3650
"6","Adelie Penguin (Pygoscelis adeliae)",181,38.9,17.8,3625
"7","Adelie Penguin (Pygoscelis adeliae)",195,39.2,19.6,4675
"8","Adelie Penguin (Pygoscelis adeliae)",193,34.1,18.1,3475
"9","Adelie Penguin (Pygoscelis adeliae)",190,42,20.2,4250
"10","Adelie Penguin (Pygoscelis adeliae)",186,37.8,17.1,3300
"11","Adelie Penguin (Pygoscelis adeliae)",180,37.8,17.3,3700
"12","Adelie Penguin (Pygoscelis adeliae)",182,41.1,17.6,3200
"13","Adelie Penguin (Pygoscelis adeliae)",191,38.6,21.2,3800
"14","Adelie Penguin (Pygoscelis adeliae)",198,34.6,21.1,4400
"15","Adelie Penguin (Pygoscelis adeliae)",185,36.6,17.8,3700
"16","Adelie Penguin (Pygoscelis adeliae)",195,38.7,19,3450
"17","Adelie Penguin (Pygoscelis adeliae)",197,42.5,20.7,4500
"18","Adelie Penguin (Pygoscelis adeliae)",184,34.4,18.4,3325
"19","Adelie Penguin (Pygoscelis adeliae)",194,46,21.5,4200
"20","Adelie Penguin (Pygoscelis adeliae)",174,37.8,18.3,3400
"21","Adelie Penguin (Pygoscelis adeliae)",180,37.7,18.7,3600
"22","Adelie Penguin (Pygoscelis adeliae)",189,35.9,19.2,3800
"23","Adelie Penguin (Pygoscelis adeliae)",185,38.2,18.1,3950
"24","Adelie Penguin (Pygoscelis adeliae)",180,38.8,17.2,3800
"25","Adelie Penguin (Pygoscelis adeliae)",187,35.3,18.9,3800
"26","Adelie Penguin (Pygoscelis adeliae)",183,40.6,18.6,3550
"27","Adelie Penguin (Pygoscelis adeliae)",187,40.5,17.9,3200
"28","Adelie Penguin (Pygoscelis adeliae)",172,37.9,18.6,3150
"29","Adelie Penguin (Pygoscelis adeliae)",180,40.5,18.9,3950
"30","Adelie Penguin (Pygoscelis adeliae)",178,39.5,16.7,3250
"31","Adelie Penguin (Pygoscelis adeliae)",178,37.2,18.1,3900
"32","Adelie Penguin (Pygoscelis adeliae)",188,39.5,17.8,3300
"33","Adelie Penguin (Pygoscelis adeliae)",184,40.9,18.9,3900
"34","Adelie Penguin (Pygoscelis adeliae)",195,36.4,17,3325
"35","Adelie Penguin (Pygoscelis adeliae)",196,39.2,21.1,4150
"36","Adelie Penguin (Pygoscelis adeliae)",190,38.8,20,3950
"37","Adelie Penguin (Pygoscelis adeliae)",180,42.2,18.5,3550
"38","Adelie Penguin (Pygoscelis adeliae)",181,37.6,19.3,3300
"39","Adelie Penguin (Pygoscelis adeliae)",184,39.8,19.1,4650
"40","Adelie Penguin (Pygoscelis adeliae)",182,36.5,18,3150
"41","Adelie Penguin (Pygoscelis adeliae)",195,40.8,18.4,3900
"42","Adelie Penguin (Pygoscelis adeliae)",186,36,18.5,3100
"43","Adelie Penguin (Pygoscelis adeliae)",196,44.1,19.7,4400
"44","Adelie Penguin (Pygoscelis adeliae)",185,37,16.9,3000
"45","Adelie Penguin (Pygoscelis adeliae)",190,39.6,18.8,4600
"46","Adelie Penguin (Pygoscelis adeliae)",182,41.1,19,3425
"47","Adelie Penguin (Pygoscelis adeliae)",179,37.5,18.9,2975
"48","Adelie Penguin (Pygoscelis adeliae)",190,36,17.9,3450
"49","Adelie Penguin (Pygoscelis adeliae)",191,42.3,21.2,4150
"50","Adelie Penguin (Pygoscelis adeliae)",186,39.6,17.7,3500
"51","Adelie Penguin (Pygoscelis adeliae)",188,40.1,18.9,4300
"52","Adelie Penguin (Pygoscelis adeliae)",190,35,17.9,3450
"53","Adelie Penguin (Pygoscelis adeliae)",200,42,19.5,4050
"54","Adelie Penguin (Pygoscelis adeliae)",187,34.5,18.1,2900
"55","Adelie Penguin (Pygoscelis adeliae)",191,41.4,18.6,3700
"56","Adelie Penguin (Pygoscelis adeliae)",186,39,17.5,3550
"57","Adelie Penguin (Pygoscelis adeliae)",193,40.6,18.8,3800
"58","Adelie Penguin (Pygoscelis adeliae)",181,36.5,16.6,2850
"59","Adelie Penguin (Pygoscelis adeliae)",194,37.6,19.1,3750
"60","Adelie Penguin (Pygoscelis adeliae)",185,35.7,16.9,3150
"61","Adelie Penguin (Pygoscelis adeliae)",195,41.3,21.1,4400
"62","Adelie Penguin (Pygoscelis adeliae)",185,37.6,17,3600
"63","Adelie Penguin (Pygoscelis adeliae)",192,41.1,18.2,4050
"64","Adelie Penguin (Pygoscelis adeliae)",184,36.4,17.1,2850
"65","Adelie Penguin (Pygoscelis adeliae)",192,41.6,18,3950
"66","Adelie Penguin (Pygoscelis adeliae)",195,35.5,16.2,3350
"67","Adelie Penguin (Pygoscelis adeliae)",188,41.1,19.1,4100
"68","Adelie Penguin (Pygoscelis adeliae)",190,35.9,16.6,3050
"69","Adelie Penguin (Pygoscelis adeliae)",198,41.8,19.4,4450
"70","Adelie Penguin (Pygoscelis adeliae)",190,33.5,19,3600
"71","Adelie Penguin (Pygoscelis adeliae)",190,39.7,18.4,3900
"72","Adelie Penguin (Pygoscelis adeliae)",196,39.6,17.2,3550
"73","Adelie Penguin (Pygoscelis adeliae)",197,45.8,18.9,4150
"74","Adelie Penguin (Pygoscelis adeliae)",190,35.5,17.5,3700
"75","Adelie Penguin (Pygoscelis adeliae)",195,42.8,18.5,4250
"76","Adelie Penguin (Pygoscelis adeliae)",191,40.9,16.8,3700
"77","Adelie Penguin (Pygoscelis adeliae)",184,37.2,19.4,3900
"78","Adelie Penguin (Pygoscelis adeliae)",187,36.2,16.1,3550
"79","Adelie Penguin (Pygoscelis adeliae)",195,42.1,19.1,4000
"80","Adelie Penguin (Pygoscelis adeliae)",189,34.6,17.2,3200
"81","Adelie Penguin (Pygoscelis adeliae)",196,42.9,17.6,4700
"82","Adelie Penguin (Pygoscelis adeliae)",187,36.7,18.8,3800
"83","Adelie Penguin (Pygoscelis adeliae)",193,35.1,19.4,4200
"84","Adelie Penguin (Pygoscelis adeliae)",191,37.3,17.8,3350
"85","Adelie Penguin (Pygoscelis adeliae)",194,41.3,20.3,3550
"86","Adelie Penguin (Pygoscelis adeliae)",190,36.3,19.5,3800
"87","Adelie Penguin (Pygoscelis adeliae)",189,36.9,18.6,3500
"88","Adelie Penguin (Pygoscelis adeliae)",189,38.3,19.2,3950
"89","Adelie Penguin (Pygoscelis adeliae)",190,38.9,18.8,3600
"90","Adelie Penguin (Pygoscelis adeliae)",202,35.7,18,3550
"91","Adelie Penguin (Pygoscelis adeliae)",205,41.1,18.1,4300
"92","Adelie Penguin (Pygoscelis adeliae)",185,34,17.1,3400
"93","Adelie Penguin (Pygoscelis adeliae)",186,39.6,18.1,4450
"94","Adelie Penguin (Pygoscelis adeliae)",187,36.2,17.3,3300
"95","Adelie Penguin (Pygoscelis adeliae)",208,40.8,18.9,4300
"96","Adelie Penguin (Pygoscelis adeliae)",190,38.1,18.6,3700
"97","Adelie Penguin (Pygoscelis adeliae)",196,40.3,18.5,4350
"98","Adelie Penguin (Pygoscelis adeliae)",178,33.1,16.1,2900
"99","Adelie Penguin (Pygoscelis adeliae)",192,43.2,18.5,4100
"100","Adelie Penguin (Pygoscelis adeliae)",192,35,17.9,3725
"101","Adelie Penguin (Pygoscelis adeliae)",203,41,20,4725
"102","Adelie Penguin (Pygoscelis adeliae)",183,37.7,16,3075
